id,surveyid,titl,nation,authenty,data_coll_start,data_coll_end,created,changed
90,RWA-NISR-RAHS-2017-V0.1,"Agricultural Household Survey 2017",Rwanda,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2017,2017,Jan-11-21,Jan-11-21
101,RWA-NISR-RAHS-2020-V0.1,"Agricultural Household Survey 2020",Rwanda,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2020,2020,Apr-19-22,Apr-19-22
26,RWA-NISR-CFSVA-206-v01,"Comprehensive Food Security and Vulnerability Analysis (CFSVA)",Rwanda,"[""National Institute of Statistics Rwanda - Government of Rwanda""]",2006,2006,Aug-03-12,Aug-03-12
70,RWA-NISR-CFSVA-2015-v01,"Comprehensive Food Security and Vulnerability Analysis 2015",RWANDA,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2015,2015,Jun-15-16,Jun-15-16
91,RWA-NISR-CFSVA-2018-v01,"Comprehensive Food Security and Vulnerability Analysis 2018",Rwanda,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2018,2018,Jan-11-21,Jan-11-21
106,RWA-NISR-CFSVA-2021-v01,"Comprehensive Food Security and Vulnerability Analysis 2021",Rwanda,"National Institute of Statistics of Rwanda (NISR) - Ministry of Finance and Economic Planning (MINECOFIN)",2021,2021,Sep-01-23,Sep-04-23
122,RWA-NISR-CFSVA-2024-v01,"Comprehensive Food Security and Vulnerability Analysis 2024",RWANDA,"National Institute of Statistics of Rwanda(NISR) - Ministry of Finance and Economic Planning(MINECOFIN)",0,0,Aug-08-25,Aug-08-25
8,RWA-NISR-CFSVANS-2009-v01,"Comprehensive Food Security and Vulnerability Analysis and Nutrition Survey 2009",RWANDA,"[""National Institute of Statistics of Rwanda - Ministry of Economics Planification and Finance""]",2009,2009,Aug-01-12,Aug-01-12
69,RWA-NISR-CFSVANS-2012-v1,"Comprehensive Food Security and Vulnerability Analysis and Nutrition Survey 2012",RWANDA,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2012,2012,May-25-16,May-25-16
11,RWA-NISR-DHS-2000-v1.0,"Demographic and Health Survey 2000",Rwanda,"[""National Institute of Statistic of Rwanda - MINECOFIN""]",2000,2000,Aug-02-12,Aug-02-12
68,rwa-nisr-rdhs5-2014-2015-v01,"Demographic and Health Survey 2014-2015",Rwanda,"National Institute of Statistics of Rwanda - Ministry of Finance and Economic Planning",2014,2015,May-24-16,May-31-16
14,RWA-NISR-DHS-2005-v01,"Demographic Health Survey 2005",RWANDA,"[""National Institute of Statistics of Rwanda - MINECOFIN""]",2005,2005,Aug-02-12,Aug-02-12
4,RWA-NISR-DHS-2010-v01,"Demographic Health Survey 2010",RWANDA,"[""National Institute of Statistics of Rwanda NISR - MINECOFIN""]",2010,2011,Aug-01-12,Feb-27-13
25,RWA-NISR-MICS-2000-v1.0,"ENQUETE A INDICATEURS MULTIPLES (MICS2000)",Rwanda,"[""Direction de la Statistique - Minist\u00e8re des Finances et de la Planification Economique""]",2000,2000,Aug-03-12,Aug-03-12
6,RWA-NISR-DHS-1992-v01,"Enquête Démographique et de Santé 1992",RWANDA,"[""Office National de la Population - MINIPLA""]",1992,1992,Aug-01-12,Aug-01-12
